epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,10833.8,1.30008,1.08209,1.73125,0.93739,0.85208,0.93581,0.50679,1.53742,0.83783,2.11105,0.000548,0.000548,0.000548
90,10955.2,1.29709,1.06064,1.71734,0.94897,0.8374,0.93225,0.50139,1.5451,0.83129,2.0956,0.0005315,0.0005315,0.0005315
91,11077.8,1.29892,1.06599,1.73417,0.95135,0.84799,0.93287,0.51366,1.53522,0.84124,2.06143,0.000515,0.000515,0.000515
92,11202,1.28431,1.02755,1.72835,0.96837,0.82976,0.92783,0.50462,1.55769,0.8502,2.14793,0.0004985,0.0004985,0.0004985
93,11324.8,1.2652,1.03906,1.70142,0.96585,0.84309,0.94156,0.52583,1.53341,0.80477,2.06167,0.000482,0.000482,0.000482
94,11447,1.28691,1.06025,1.71911,0.9378,0.85807,0.92959,0.49845,1.52955,0.83802,2.04214,0.0004655,0.0004655,0.0004655
95,11572.4,1.2889,1.02632,1.72391,0.94404,0.86871,0.93758,0.51517,1.51961,0.793,2.05669,0.000449,0.000449,0.000449
96,11694.7,1.26824,1.02026,1.70833,0.9417,0.87556,0.95163,0.53176,1.51818,0.75889,2.05255,0.0004325,0.0004325,0.0004325
97,11816.9,1.27844,1.01431,1.70379,0.95243,0.85908,0.93797,0.5288,1.50129,0.7806,2.04071,0.000416,0.000416,0.000416
98,11940.8,1.27099,1.05175,1.71657,0.90964,0.87297,0.93744,0.51255,1.53636,0.78764,2.07712,0.0003995,0.0003995,0.0003995
99,12065.3,1.27315,1.03204,1.70576,0.95114,0.844,0.9287,0.49421,1.58797,0.81363,2.14665,0.000383,0.000383,0.000383
100,12189.9,1.24927,0.99653,1.69483,0.92264,0.88889,0.94292,0.51681,1.50211,0.76802,2.03603,0.0003665,0.0003665,0.0003665
101,12311,1.24609,0.98543,1.68663,0.9444,0.87464,0.93895,0.49973,1.57271,0.7973,2.11628,0.00035,0.00035,0.00035
102,12433.2,1.27185,1.00044,1.68686,0.92845,0.87919,0.94313,0.50265,1.5439,0.80136,2.07105,0.0003335,0.0003335,0.0003335
103,12556.6,1.24059,0.982,1.67876,0.95233,0.86992,0.94118,0.51293,1.51831,0.77553,2.07891,0.000317,0.000317,0.000317
